implementation,N_points,N_threads,A,B,time
s,10000000,12,1.00000000,10.00000000,0.59049163
s,10000000,12,10.00000000,100.00000000,0.57255471
s,10000000,12,100.00000000,1000.00000000,0.56264119
s,10000000,13,0.00001000,0.00010000,0.92996158
s,10000000,13,0.00010000,0.00100000,0.76688695
s,10000000,13,0.00100000,0.01000000,0.75598907
s,10000000,13,0.01000000,0.10000000,0.75269451
s,10000000,13,0.10000000,1.00000000,0.72234752
s,10000000,13,1.00000000,10.00000000,0.58803392
s,10000000,13,10.00000000,100.00000000,0.57354877
s,10000000,13,100.00000000,1000.00000000,0.56350110
s,10000000,14,0.00001000,0.00010000,0.92883658
s,10000000,14,0.00010000,0.00100000,0.76766100
s,10000000,14,0.00100000,0.01000000,0.75559622
s,10000000,14,0.01000000,0.10000000,0.75138287
s,10000000,14,0.10000000,1.00000000,0.72255282
s,10000000,14,1.00000000,10.00000000,0.58699901
s,10000000,14,10.00000000,100.00000000,0.57240022
s,10000000,14,100.00000000,1000.00000000,0.56377885
s,10000000,15,0.00001000,0.00010000,0.92896963
s,10000000,15,0.00010000,0.00100000,0.76695997
s,10000000,15,0.00100000,0.01000000,0.75612626
s,10000000,15,0.01000000,0.10000000,0.75059846
s,10000000,15,0.10000000,1.00000000,0.72662933
s,10000000,15,1.00000000,10.00000000,0.58870006
s,10000000,15,10.00000000,100.00000000,0.57354048
s,10000000,15,100.00000000,1000.00000000,0.56520360
s,10000000,16,0.00001000,0.00010000,0.92852781
s,10000000,16,0.00010000,0.00100000,0.76629116
s,10000000,16,0.00100000,0.01000000,0.75734033
s,10000000,16,0.01000000,0.10000000,0.74954499
s,10000000,16,0.10000000,1.00000000,0.72270355
s,10000000,16,1.00000000,10.00000000,0.58650827
s,10000000,16,10.00000000,100.00000000,0.57210825
s,10000000,16,100.00000000,1000.00000000,0.56238041
s,10000000,17,0.00001000,0.00010000,0.92815987
s,10000000,17,0.00010000,0.00100000,0.76598670
s,10000000,17,0.00100000,0.01000000,0.75669118
s,10000000,17,0.01000000,0.10000000,0.74968334
s,10000000,17,0.10000000,1.00000000,0.72173065
s,10000000,17,1.00000000,10.00000000,0.59008440
s,10000000,17,10.00000000,100.00000000,0.57176595
s,10000000,17,100.00000000,1000.00000000,0.56222130
s,10000000,18,0.00001000,0.00010000,0.92875268
s,10000000,18,0.00010000,0.00100000,0.76592015
s,10000000,18,0.00100000,0.01000000,0.75657424
s,10000000,18,0.01000000,0.10000000,0.74992795
s,10000000,18,0.10000000,1.00000000,0.72168578
s,10000000,18,1.00000000,10.00000000,0.58751650
s,10000000,18,10.00000000,100.00000000,0.57172275
s,10000000,18,100.00000000,1000.00000000,0.56236996
s,10000000,19,0.00001000,0.00010000,0.93099720
s,10000000,19,0.00010000,0.00100000,0.76620659
s,10000000,19,0.00100000,0.01000000,0.75486893
s,10000000,19,0.01000000,0.10000000,0.75114882
s,10000000,19,0.10000000,1.00000000,0.72210955
s,10000000,19,1.00000000,10.00000000,0.58670180
s,10000000,19,10.00000000,100.00000000,0.57196451
s,10000000,19,100.00000000,1000.00000000,0.56234013
s,10000000,20,0.00001000,0.00010000,0.92797243
s,10000000,20,0.00010000,0.00100000,0.76654102
s,10000000,20,0.00100000,0.01000000,0.75501619
s,10000000,20,0.01000000,0.10000000,0.74957433
s,10000000,20,0.10000000,1.00000000,0.72288034
s,10000000,20,1.00000000,10.00000000,0.58698950
s,10000000,20,10.00000000,100.00000000,0.57246648
s,10000000,20,100.00000000,1000.00000000,0.56255580
a,100000,1,0.00001000,0.00010000,0.00966488
a,100000,1,0.00010000,0.00100000,0.00813804
a,100000,1,0.00100000,0.01000000,0.00782028
a,100000,1,0.01000000,0.10000000,0.00760484
a,100000,1,0.10000000,1.00000000,0.00725555
a,100000,1,1.00000000,10.00000000,0.00600459
a,100000,1,10.00000000,100.00000000,0.00585778
a,100000,1,100.00000000,1000.00000000,0.00586459
a,100000,2,0.00001000,0.00010000,0.00881740
a,100000,2,0.00010000,0.00100000,0.00823112
a,100000,2,0.00100000,0.01000000,0.00816575
a,100000,2,0.01000000,0.10000000,0.00818758
a,100000,2,0.10000000,1.00000000,0.00830546
a,100000,2,1.00000000,10.00000000,0.00751211
a,100000,2,10.00000000,100.00000000,0.00743814
a,100000,2,100.00000000,1000.00000000,0.00764106
a,100000,3,0.00001000,0.00010000,0.01002104
a,100000,3,0.00010000,0.00100000,0.00953286
a,100000,3,0.00100000,0.01000000,0.00949304
a,100000,3,0.01000000,0.10000000,0.00919087
a,100000,3,0.10000000,1.00000000,0.00910232
a,100000,3,1.00000000,10.00000000,0.00922123
a,100000,3,10.00000000,100.00000000,0.00915181
a,100000,3,100.00000000,1000.00000000,0.00931962
a,100000,4,0.00001000,0.00010000,0.01050374
a,100000,4,0.00010000,0.00100000,0.01038782
a,100000,4,0.00100000,0.01000000,0.01043158
a,100000,4,0.01000000,0.10000000,0.01029242
a,100000,4,0.10000000,1.00000000,0.01051228
a,100000,4,1.00000000,10.00000000,0.01055160
a,100000,4,10.00000000,100.00000000,0.01054692
a,100000,4,100.00000000,1000.00000000,0.01054877
a,100000,5,0.00001000,0.00010000,0.01021752
a,100000,5,0.00010000,0.00100000,0.01029414
a,100000,5,0.00100000,0.01000000,0.01021067
a,100000,5,0.01000000,0.10000000,0.01029125
a,100000,5,0.10000000,1.00000000,0.01022958
a,100000,5,1.00000000,10.00000000,0.01023490
a,100000,5,10.00000000,100.00000000,0.01016392
a,100000,5,100.00000000,1000.00000000,0.01019809
a,100000,6,0.00001000,0.00010000,0.01109671
a,100000,6,0.00010000,0.00100000,0.01093067
a,100000,6,0.00100000,0.01000000,0.01094691
a,100000,6,0.01000000,0.10000000,0.01087573
a,100000,6,0.10000000,1.00000000,0.01088556
a,100000,6,1.00000000,10.00000000,0.01072957
a,100000,6,10.00000000,100.00000000,0.01078345
a,100000,6,100.00000000,1000.00000000,0.01063900
a,100000,7,0.00001000,0.00010000,0.01124385
a,100000,7,0.00010000,0.00100000,0.01116629
a,100000,7,0.00100000,0.01000000,0.01112979
a,100000,7,0.01000000,0.10000000,0.01110590
a,100000,7,0.10000000,1.00000000,0.01106902
a,100000,7,1.00000000,10.00000000,0.01075547
a,100000,7,10.00000000,100.00000000,0.01078863
a,100000,7,100.00000000,1000.00000000,0.01074133
a,100000,8,0.00001000,0.00010000,0.01158724
a,100000,8,0.00010000,0.00100000,0.01147543
a,100000,8,0.00100000,0.01000000,0.01135835
a,100000,8,0.01000000,0.10000000,0.01133556
a,100000,8,0.10000000,1.00000000,0.01128424
